CensusTract,State,County,Urban,Pop2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lawhite20,lawhite20share,lablack20,lablack20share,laasian20,laasian20share,lanhopi20,lanhopi20share,laaian20,laaian20share,laomultir20,laomultir20share,lahisp20,lahisp20share,lahunv20,lahunv20share,lasnap20,lasnap20share,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
53011040608,Washington,Clark County,1,3817,1234,0,12,0.31,0,0,0,0,0,0,2.6,123301,1,1,1,1,1,0,0,0,2188,3102,2188,209,281,209,3102,81.27,281,7.36,999,26.17,295,7.72,2548,66.76,40,1.06,319,8.35,18,0.47,13,0.33,164,4.29,121,3.16,6,0.46,22,1.78,2188,57.31,209,5.46,714,18.71,217,5.69,1838,48.16,32,0.84,180,4.71,11,0.28,9,0.22,118,3.09,88,2.3,5,0.38,16,1.28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,381,1251,341,3117,51,413,20,13,203,147,7,34
53011040609,Washington,Clark County,1,4508,1395,0,0,0,0,0,0,0,0,0,1.8,142774,1,1,1,1,1,0,0,0,4501,4508,4501,233,234,233,4508,100,234,5.18,1623,36,261,5.79,3724,82.61,57,1.26,477,10.58,5,0.11,21,0.47,224,4.97,161,3.57,14,1,22,1.61,4501,99.83,233,5.17,1621,35.95,261,5.78,3718,82.47,57,1.26,476,10.56,5,0.11,21,0.47,224,4.96,161,3.56,14,0.99,22,1.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,254,1623,261,3724,57,477,5,21,224,161,15,25
53011040610,Washington,Clark County,1,3193,1024,0,0,0,0,0,0,0,0,0,1.1,143606,1,1,1,1,1,0,0,0,2717,3193,2717,88,102,88,3193,100,102,3.2,1032,32.32,247,7.74,2794,87.5,31,0.97,214,6.7,13,0.41,14,0.44,127,3.98,130,4.07,17,1.64,28,2.76,2717,85.11,88,2.76,875,27.42,193,6.05,2346,73.48,28,0.87,204,6.38,13,0.39,11,0.34,116,3.64,116,3.64,14,1.35,24,2.36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,118,1032,247,2794,31,214,13,14,127,130,19,33
53011040703,Washington,Clark County,1,6384,2094,0,31,0.49,0,0,0,0,0,0,10.5,69195,1,1,1,1,1,0,0,0,1157,4999,1157,265,1368,265,4999,78.3,1368,21.42,1358,21.27,395,6.19,4275,66.97,71,1.12,197,3.08,18,0.28,40,0.62,397,6.22,377,5.91,0,0,237,11.31,1157,18.13,265,4.16,323,5.06,78,1.23,1035,16.22,12,0.18,42,0.66,1,0.01,12,0.19,55,0.87,47,0.73,0,0,55,2.61,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1849,1753,523,5320,102,267,49,58,588,546,0,311
53011040706,Washington,Clark County,1,3702,1298,0,7,0.19,0,1,0,0,0,1,14.6,56029,0,1,0,1,0,0,0,0,NULL,1115,NULL,NULL,485,NULL,1115,30.11,485,13.1,325,8.79,96,2.59,908,24.53,23,0.61,49,1.32,21,0.56,13,0.36,101,2.74,125,3.37,12,0.95,115,8.88,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1622,1130,260,3001,70,174,68,39,350,420,38,361
53011040707,Washington,Clark County,1,3245,1053,0,23,0.71,0,0,0,0,0,0,12.8,74375,0,1,0,1,0,0,0,0,NULL,1034,NULL,NULL,238,NULL,1034,31.86,238,7.34,344,10.59,62,1.93,874,26.94,30,0.93,36,1.1,1,0.03,3,0.11,89,2.76,102,3.13,19,1.77,60,5.71,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,782,980,268,2841,58,90,3,13,240,281,50,203
53011040709,Washington,Clark County,1,4196,1382,0,0,0,0,0,0,0,0,0,6.1,83581,1,1,1,1,1,0,0,0,1384,3511,1384,480,1160,480,3511,83.68,1160,27.64,1128,26.87,282,6.72,3023,72.03,47,1.12,215,5.13,10,0.23,11,0.26,206,4.91,207,4.92,35,2.57,148,10.74,1384,32.98,480,11.44,427,10.18,139,3.3,1209,28.81,18,0.44,79,1.89,6,0.13,3,0.08,68,1.63,83,1.97,14,0.99,60,4.32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1596,1323,338,3613,57,245,10,22,249,240,49,205
53011040710,Washington,Clark County,0,4705,1623,0,28,0.6,0,0,0,0,0,0,5.8,91328,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,4542,96.54,875,18.61,1212,25.75,599,12.74,4176,88.75,37,0.79,143,3.04,17,0.37,20,0.42,149,3.17,176,3.74,59,3.61,160,9.88,3952,84,752,15.99,1074,22.83,476,10.11,3656,77.71,24,0.51,118,2.52,11,0.24,15,0.32,127,2.71,156,3.31,44,2.72,135,8.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1381,1251,630,4318,45,147,19,21,155,181,120,263
53011040711,Washington,Clark County,1,3098,1005,0,13,0.42,1,1,1,0,0,1,5.3,64702,1,1,1,1,1,0,0,0,1406,2870,1406,563,1177,563,2870,92.65,1177,37.98,960,30.97,142,4.59,2235,72.13,92,2.97,174,5.6,37,1.19,27,0.87,306,9.88,265,8.56,12,1.23,235,23.38,1406,45.4,563,18.19,465,15.01,76,2.47,1110,35.81,50,1.6,75,2.41,20,0.63,15,0.48,138,4.45,131,4.24,5,0.53,118,11.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1368,1019,156,2433,93,176,37,31,328,296,18,274
53011040712,Washington,Clark County,1,5413,1702,0,37,0.68,0,0,0,0,0,0,8.6,86441,1,1,1,1,1,0,0,0,1371,5408,1371,360,1261,360,5408,99.9,1261,23.3,1755,32.43,328,6.05,4419,81.63,87,1.6,281,5.19,57,1.05,62,1.14,503,9.29,525,9.69,12,0.73,210,12.32,1371,25.32,360,6.64,440,8.13,103,1.91,1140,21.06,26,0.47,52,0.96,8,0.15,19,0.34,127,2.35,108,2,3,0.15,53,3.09,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1524,1757,328,4423,87,281,57,62,503,525,14,251
53011040803,Washington,Clark County,1,5035,1793,0,10,0.2,0,0,0,0,0,0,7.5,99940,1,1,1,1,1,0,0,0,871,2930,871,100,327,100,2930,58.19,327,6.49,747,14.83,314,6.24,2553,50.7,41,0.82,125,2.47,15,0.3,24,0.48,172,3.42,160,3.17,24,1.32,63,3.54,871,17.29,100,1.98,206,4.09,97,1.93,747,14.83,11,0.22,39,0.77,12,0.25,14,0.27,48,0.95,54,1.07,11,0.59,19,1.08,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,831,1313,552,4241,87,200,64,40,403,402,46,116
53011040805,Washington,Clark County,1,5735,2034,0,21,0.37,0,0,0,0,0,0,8.5,100387,1,1,1,1,1,0,0,0,4463,5735,4463,850,1077,850,5735,100,1077,18.78,1436,25.04,780,13.6,5178,90.28,70,1.22,168,2.93,15,0.26,48,0.84,256,4.46,310,5.41,71,3.5,119,5.87,4463,77.82,850,14.82,1099,19.16,626,10.91,4045,70.52,48,0.83,116,2.02,13,0.23,40,0.7,202,3.52,245,4.27,62,3.06,93,4.59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1288,1436,780,5178,70,168,15,48,256,310,100,150
53011040806,Washington,Clark County,1,4611,1500,0,25,0.54,0,0,0,0,0,0,6,86570,1,1,1,1,1,0,0,0,4611,4611,4611,833,833,833,4611,100,833,18.07,1277,27.69,424,9.2,3998,86.71,90,1.95,247,5.36,24,0.52,41,0.89,211,4.58,248,5.38,34,2.28,154,10.28,4611,100,833,18.07,1277,27.69,424,9.2,3998,86.71,90,1.95,247,5.36,24,0.52,41,0.89,211,4.58,248,5.38,34,2.28,154,10.28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,867,1277,424,3998,90,247,24,41,211,248,38,171
53011040808,Washington,Clark County,1,1605,593,0,0,0,1,1,1,0,0,1,6.7,63750,1,1,1,1,1,0,0,0,1592,1605,1592,354,357,354,1605,100,357,22.25,416,25.92,197,12.27,1404,87.48,21,1.31,45,2.8,10,0.62,11,0.69,114,7.1,124,7.73,5,0.92,52,8.78,1592,99.21,354,22.07,416,25.9,192,11.94,1391,86.69,21,1.31,45,2.8,10,0.62,11,0.69,114,7.1,124,7.71,5,0.91,52,8.69,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,406,416,197,1404,21,45,10,11,114,124,6,57
53011040809,Washington,Clark County,1,6176,2052,0,10,0.16,0,0,0,0,0,0,7.8,68594,1,1,1,1,1,0,0,0,2117,3673,2117,275,562,275,3673,59.47,562,9.1,1119,18.12,268,4.35,2948,47.74,91,1.48,331,5.36,20,0.33,20,0.33,262,4.24,288,4.66,18,0.86,190,9.26,2117,34.28,275,4.46,696,11.27,133,2.16,1658,26.85,60,0.97,263,4.25,17,0.28,8,0.14,111,1.79,129,2.09,13,0.65,103,5.03,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1335,1982,379,4580,208,398,37,38,915,1018,30,328
53011040810,Washington,Clark County,1,2728,1029,0,0,0,0,0,0,0,0,0,5.1,87917,1,1,1,1,1,0,0,0,791,1805,791,118,270,118,1805,66.16,270,9.9,420,15.38,211,7.73,1522,55.81,55,2.02,68,2.48,23,0.84,7,0.26,130,4.75,122,4.46,8,0.78,73,7.13,791,29,118,4.33,203,7.45,97,3.56,659,24.14,21,0.78,39,1.42,8,0.3,4,0.15,60,2.21,53,1.96,4,0.38,32,3.11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,503,681,261,2278,91,105,28,12,214,213,10,119
53011040904,Washington,Clark County,1,5797,2309,0,10,0.17,0,0,0,0,0,0,13.9,74762,0,1,0,1,0,0,0,0,210,2660,210,50,579,50,2660,45.88,579,10,627,10.81,343,5.93,2430,41.91,18,0.31,65,1.11,3,0.05,33,0.56,112,1.94,153,2.63,10,0.43,165,7.16,210,3.62,50,0.86,46,0.8,22,0.38,189,3.26,1,0.01,6,0.1,0,0,2,0.03,12,0.21,13,0.22,0,0,13,0.56,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2035,1386,627,5034,100,157,10,61,435,459,107,421
53011040905,Washington,Clark County,0,3157,1168,0,9,0.29,0,0,0,0,0,0,5,116842,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,3157,100,513,16.26,699,22.14,495,15.68,2919,92.46,35,1.11,69,2.19,8,0.25,19,0.6,107,3.39,140,4.43,44,3.76,87,7.46,3157,100,513,16.26,699,22.14,495,15.68,2919,92.46,35,1.11,69,2.19,8,0.25,19,0.6,107,3.39,140,4.43,44,3.76,87,7.46,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,499,699,495,2919,35,69,8,19,107,140,43,93
53011040907,Washington,Clark County,1,4661,1524,0,16,0.34,0,0,0,0,0,0,4.2,145069,1,1,1,1,1,0,0,0,4661,4661,4661,236,236,236,4661,100,236,5.06,1409,30.23,452,9.7,4182,89.72,53,1.14,184,3.95,16,0.34,39,0.84,187,4.01,151,3.24,0,0,0,0,4661,100,236,5.06,1409,30.23,452,9.7,4182,89.72,53,1.14,184,3.95,16,0.34,39,0.84,187,4.01,151,3.24,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,298,1409,452,4182,53,184,16,39,187,151,0,0
53011040908,Washington,Clark County,1,6161,2182,0,12,0.19,0,0,0,0,0,0,3.4,110792,1,1,1,1,1,0,0,0,4993,6084,4993,711,948,711,6084,98.74,948,15.38,1600,25.98,733,11.89,5465,88.7,60,0.97,202,3.27,25,0.41,39,0.64,293,4.75,285,4.63,26,1.21,119,5.43,4993,81.04,711,11.55,1339,21.74,580,9.42,4494,72.94,50,0.82,170,2.76,19,0.32,28,0.45,232,3.76,230,3.74,26,1.2,97,4.43,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1152,1613,748,5535,60,204,25,40,297,291,26,129
53011040909,Washington,Clark County,1,5088,2129,0,7,0.14,0,0,0,0,0,0,6.6,99821,1,1,1,1,1,0,0,0,1221,2559,1221,140,313,140,2559,50.3,313,6.16,512,10.07,501,9.85,2320,45.59,17,0.33,87,1.71,10,0.2,17,0.34,109,2.14,96,1.89,33,1.53,95,4.44,1221,24,140,2.75,256,5.04,241,4.74,1082,21.26,13,0.26,60,1.18,3,0.06,11,0.21,53,1.04,29,0.56,16,0.77,42,1.99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,732,1083,870,4556,47,215,19,22,229,222,48,182
53011040910,Washington,Clark County,1,4369,1399,0,7,0.16,0,0,0,0,0,0,6.1,107917,1,1,1,1,1,0,0,0,1853,4117,1853,426,947,426,4117,94.24,947,21.68,1442,33.01,313,7.17,3508,80.3,77,1.77,268,6.14,20,0.46,14,0.32,230,5.26,208,4.75,18,1.3,41,2.92,1853,42.4,426,9.76,662,15.15,132,3.02,1589,36.37,38,0.88,111,2.54,9,0.21,8,0.19,97,2.22,90,2.06,8,0.55,18,1.31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1022,1487,387,3739,79,273,21,16,241,223,20,47
53011041003,Washington,Clark County,1,3968,1564,0,114,2.87,0,0,0,0,0,0,6.9,76541,1,1,1,1,1,0,0,0,1038,3475,1038,54,455,54,3475,87.58,455,11.46,716,18.05,628,15.82,3064,77.21,42,1.07,56,1.41,28,0.7,37,0.94,248,6.24,233,5.87,41,2.59,138,8.79,1038,26.16,54,1.37,201,5.07,216,5.46,958,24.14,8,0.19,11,0.28,0,0.01,12,0.3,49,1.23,60,1.5,2,0.13,42,2.71,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,576,845,672,3436,58,64,32,45,333,318,53,159
53011041005,Washington,Clark County,0,2370,931,0,2,0.08,0,0,0,0,0,1,22,39058,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2370,100,1367,57.66,718,30.3,144,6.08,1808,76.29,68,2.87,26,1.1,28,1.18,32,1.35,408,17.22,482,20.34,38,4.11,333,35.77,2033,85.76,1170,49.38,630,26.59,121,5.12,1543,65.1,57,2.42,23,0.98,25,1.05,26,1.1,358,15.11,437,18.46,31,3.31,287,30.86,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1422,718,144,1808,68,26,28,32,408,482,37,342
53011041007,Washington,Clark County,1,3066,1248,0,0,0,0,1,0,0,0,1,11.6,65588,0,1,0,1,0,0,0,0,NULL,1595,NULL,NULL,273,NULL,1595,52.01,273,8.91,372,12.14,254,8.27,1331,43.42,42,1.38,30,0.98,6,0.19,14,0.45,171,5.58,188,6.12,0,0,70,5.64,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,900,682,509,2626,56,63,8,22,291,323,0,153
53011041008,Washington,Clark County,1,3754,1428,0,10,0.27,0,0,0,0,0,0,2.1,85186,1,1,1,1,1,0,0,0,1382,3695,1382,131,586,131,3695,98.43,586,15.61,799,21.28,642,17.09,3366,89.67,30,0.79,118,3.13,8,0.21,15,0.39,159,4.24,174,4.64,9,0.66,81,5.67,1382,36.82,131,3.48,306,8.14,266,7.1,1291,34.4,10,0.26,34,0.91,5,0.14,3,0.08,39,1.03,59,1.57,1,0.1,31,2.17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,711,810,653,3420,30,120,8,15,161,175,11,87
53011041009,Washington,Clark County,1,3578,1608,0,0,0,0,0,0,0,0,1,11.3,59828,0,0,0,0,0,0,0,0,NULL,269,NULL,NULL,69,NULL,269,7.52,69,1.92,69,1.92,36,1.01,230,6.43,1,0.03,4,0.12,9,0.25,3,0.07,22,0.61,22,0.63,2,0.12,23,1.43,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1200,698,745,3133,47,59,18,44,277,273,141,421
